model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-2.39848682955073,0.335560149862431,0.12924108299193904,6,dec2024
RecursiveTabular,-2.417324727297243,0.10256791114807129,0.9877481460571289,2,dec2024
Theta,-2.4313701181843004,0.2315969467163086,0.053636789321899414,5,dec2024
SeasonalNaive,-2.5806739332791317,1.792107105255127,0.038558006286621094,1,dec2024
ETS,-2.6247168821391327,1.5716297626495361,0.05007624626159668,4,dec2024
DirectTabular,-4.22807813104022,0.1642451286315918,1.340411901473999,3,dec2024
