model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-3.383657780769004,0.9877452644286677,0.23234358298941515,6,dec2025
SeasonalNaive,-3.689365199249298,0.18271207809448242,0.042886972427368164,1,dec2025
Theta,-3.9151213547399477,0.5617640018463135,0.058743953704833984,5,dec2025
ETS,-4.062551969664958,0.5144340991973877,0.06515097618103027,4,dec2025
RecursiveTabular,-4.1796513517417155,0.1266307830810547,0.7794013023376465,2,dec2025
DirectTabular,-4.272134653246815,0.28714704513549805,2.3919968605041504,3,dec2025
