model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-2.570026414133303,1.509154105806374,0.21114841700182296,6,oct2025
SeasonalNaive,-2.616837923928168,0.16000699996948242,0.05590200424194336,1,oct2025
Theta,-2.709846381512145,0.38855719566345215,0.07937073707580566,5,oct2025
RecursiveTabular,-2.87193550806952,0.15042710304260254,0.8425240516662598,2,oct2025
ETS,-2.967547187760766,0.6800949573516846,0.07908129692077637,4,oct2025
DirectTabular,-5.891644684300632,0.275773286819458,1.3397445678710938,3,oct2025
