model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-3.540624251489532,0.5776016768795671,0.23085125000216067,6,dec2025
SeasonalNaive,-3.689365199249298,0.2167530059814453,0.06578707695007324,1,dec2025
Theta,-3.9151213547399477,0.5579912662506104,0.1095428466796875,5,dec2025
ETS,-4.062551969664958,0.5596108436584473,0.1058359146118164,4,dec2025
RecursiveTabular,-4.207859302254633,0.17072796821594238,1.0065629482269287,2,dec2025
DirectTabular,-4.792185236280943,0.35894775390625,2.6509273052215576,3,dec2025
