retail_account,maturity,pack_format,n_cutpoints,is_drifting,drift_score,slope,final_wmape,wmape_Sep_2024,rr_Sep_2024,wmape_Dec_2024,rr_Dec_2024,wmape_Mar_2025,rr_Mar_2025,wmape_Jun_2025,rr_Jun_2025,wmape_Sep_2025,rr_Sep_2025,wmape_Dec_2025,rr_Dec_2025,wmape_Jan_2026,rr_Jan_2026
MCKEEVERS,Growing (27-78w),Single (1ct),5,True,1.672,0.592,3.3074460013884375,,,,,2.293319271193633,0.402,3.1793915016331575,0.804,3.37869773776184,1.217,4.519027465428824,2.237,3.3074460013884375,1.56
MCCAFFREYS,Growing (27-78w),Single (1ct),5,True,1.415,0.3542,2.41183043792481,,,,,2.965795963035345,0.52,4.9647680450068385,1.255,4.114712904082488,1.483,3.2810136468800577,1.624,2.41183043792481,1.138
