model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-2.56037056130433,1.1363940419687424,0.21624570799758658,6,oct2025
SeasonalNaive,-2.616837923928168,0.16219091415405273,0.03788042068481445,1,oct2025
Theta,-2.709846381512145,0.3658020496368408,0.050189971923828125,5,oct2025
RecursiveTabular,-2.88131176450716,0.11707687377929688,0.76515793800354,2,oct2025
ETS,-2.967547187760766,0.3850231170654297,0.05039501190185547,4,oct2025
DirectTabular,-5.483546741524843,0.21871304512023926,1.231482982635498,3,oct2025
