model,score_val,pred_time_val,fit_time_marginal,fit_order,cutpoint
WeightedEnsemble,-2.421599333457261,0.4983227430493571,0.14066241700493265,6,dec2024
Theta,-2.4313701181843004,0.4170207977294922,0.03859424591064453,5,dec2024
RecursiveTabular,-2.4702292457045103,0.0799102783203125,1.0633127689361572,2,dec2024
SeasonalNaive,-2.5806739332791317,1.9342169761657715,0.03545999526977539,1,dec2024
ETS,-2.6247168821391327,1.6971869468688965,0.03644514083862305,4,dec2024
DirectTabular,-4.7320542239480705,0.13536810874938965,1.5057148933410645,3,dec2024
