Item,Venue,Time,Region [ Region_warehouse ],Dollar Sales,Unit Sales,Days of Supply,Inventory Turns,Inventory On Hand,On Order,In Transit,Quantity Received,OOS,Warehouses Selling,Number of Warehouses,Flavor,Flavor / Scent,% Discount,Average Coupon Value,Average Promoted Price,Coupon Dollars,Coupon Units,Non Promoted Dollars,Non Promoted Units,Promoted Dollars,Promoted Units,Total Discount Dollars,Average Diesel Fuel Price per gallon,Average Regular Gas Price per gallon,Average Mid-grade Gas Price per gallon,Average Premium Gas Price per gallon,In Stock %
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 06-04-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.42,4.72,4.92,5.09,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 06-11-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.40,4.73,4.92,5.30,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 06-18-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.40,4.76,5.14,5.22,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 06-25-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.40,4.77,5.15,5.33,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 01-01-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.40,4.53,4.66,4.92,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 01-08-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.46,4.47,4.76,4.88,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 01-15-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.43,4.45,4.68,4.84,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 01-22-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.46,4.44,4.62,4.81,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 01-29-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.55,4.55,4.74,4.95,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 02-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.58,4.60,4.80,4.99,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 02-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.58,4.59,4.79,4.99,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 02-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.58,4.64,4.84,5.11,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 02-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.58,4.72,4.91,5.11,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 03-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.54,4.87,5.03,5.25,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 03-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.43,4.95,5.11,5.35,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 03-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.38,4.92,5.13,5.32,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 03-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.25,4.89,5.09,5.25,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 04-02-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.20,4.87,5.08,5.28,
